title,lat,lon,avg_price,capacity
Rebellion Palace,55.728268,37.581199,1300,70
Rebellion Clubhouse,55.762257,37.635522,1100,30
Red Brick,55.75591,37.644088,1150,50
Red Lion,55.774111,37.617984,1450,70
Red Stars,55.76208,37.570198,,
Remy kitchen bakery,55.779949,37.591423,2500,80
Rhythm&Blues Cafe,55.751185,37.606906,,150
Rin,55.750233,37.647047,2000,
Rishon,55.789188,37.607149,2500,90
Riverside,55.723719,37.587225,1500,35
Road to Beer,55.72265,37.561834,1000,40
Rock`n`Roll bar,55.766504,37.630565,1550,100
Rockets,55.758276,37.598136,,
Ryba Family,55.766651,37.624377,1700,
Sadu,55.739134,37.61797,1700,50
Saigon,55.793138,37.592814,600,100
Salad up,55.756568,37.508646,750,25
Salatnica,55.756917,37.56316,,
Salatnica,55.779896,37.698506,1250,
Salden`s Taphouse,55.745599,37.627129,1250,110
Saletta coffee,55.739981,37.665135,600,25
Saperavi,55.758886,37.640987,2500,140
Saperavi,55.775733,37.585893,2800,120
Sattva,55.766706,37.602325,650,30
Scrocchiarella,55.755094,37.600821,3500,42
Scrocchiarella,55.758695,37.639672,3500,105
Select,55.728113,37.678005,,
Select,55.7236,37.61058,,
Semplice,55.763895,37.64617,2000,150
Senti Menti,55.754244,37.63749,1050,
Sesto senso,55.734261,37.656972,2000,100
Seven,55.762184,37.616258,2500,100
Share,55.757665,37.603917,3500,100
Shaurma City,55.758698,37.641723,350,12
Shawarma Bar,55.779866,37.59249,500,60
Shawarma Bar,55.727395,37.567585,750,
She,55.778225,37.58624,2500,177
Sherlock,55.749233,37.590135,900,
Shirvan,55.742579,37.553236,500,
Shortlist,55.765556,37.616216,2000,45
Ski Кофе&Бургеры,55.707379,37.548457,,15
Skrepka,55.758909,37.639749,1500,37
Slider`s,55.773024,37.628203,600,
Slider`s,55.777097,37.673704,600,15
So Far Kebab,55.762146,37.633892,1000,25
Solo noi,55.77917,37.580928,,
Sonder,55.773175,37.680697,600,
Soussol,55.765125,37.59475,2500,60
Sporco,55.729826,37.632144,1800,60
Stand up Патрики,55.762461,37.587647,900,100
StandUp Cafe,55.759123,37.645649,2500,
Stardogs,55.772886,37.542617,,
Stardogs,55.736524,37.609966,,
