lat,lon,price_per_m2,levels,ads_count
55.565417,37.473483,1136.986301369863,12,1
55.565605,37.572405,1282.051282051282,17,1
55.565743,37.492221,1940.4761904761904,16,2
55.565865,37.471021,944.4444444444445,17,1
55.565931,37.479385,1661.5794290610274,25,2
55.566002,37.57704,1153.8461538461538,17,1
55.56614,37.492302,1425.531914893617,16,1
55.566155,37.478333,1401.0464758387197,14,2
55.566181,37.578612,1052.0094562647755,17,1
55.566231,37.497629,1572.827417380661,13,3
55.566395,37.498772,1565.3846153846152,14,2
55.566445,37.47987,1677.1816037735848,25,2
55.566573,37.485646,1312.14739698636,17,4
55.566618,37.473662,1333.3333333333333,12,1
55.566802,37.478621,1569.8935331230284,25,2
55.566807,37.576385,1073.4467146733361,18,3
55.566914,37.494368,2000.0,17,1
55.566949,37.470833,949.367088607595,19,1
55.567041,37.568039,1275.5102040816325,17,1
55.567097,37.49665,1535.7464028776978,16,2
55.567117,37.569764,1165.5011655011656,14,1
55.567214,37.479385,1620.8333333333335,25,2
55.567214,37.480265,1466.71826625387,25,2
55.567224,37.443173,1882.1619556913674,8,2
55.56727,37.288277,1548.8779840294326,9,6
55.567295,37.497593,1476.1904761904761,17,1
55.567468,37.490236,1179.1141988710378,14,2
55.567494,37.28622,1261.537808510967,9,2
55.567494,37.47872,1338.3838383838383,17,1
55.567774,37.441727,1857.142857142857,8,1
55.567835,37.471641,1478.4946236559138,18,1
55.56784,37.473635,978.2608695652174,12,1
55.567845,37.47165,1250.0,17,1
55.567871,37.28913,1804.2823205541813,9,8
55.567871,37.579933,1156.25,17,2
55.568018,37.586086,1276.3157894736842,17,2
55.568064,37.573806,1225.9358288770054,17,2
55.568145,37.583131,1250.0,17,1
55.568156,37.474641,1309.5238095238096,14,1
55.568278,37.284495,1504.2047836859158,9,4
55.568339,37.584083,1513.157894736842,17,2
55.568375,37.470213,1119.402985074627,17,1
55.568487,37.440461,1378.4461152882207,8,1
55.56871,37.287639,1130.952380952381,9,1
55.568736,37.489814,1280.719847367607,14,4
55.568807,37.287388,1136.2419499177013,10,4
55.568919,37.59056,1153.8461538461538,22,1
55.568945,37.28277,1500.0,9,1
55.569021,37.48614,1114.9068322981366,17,2
55.569036,37.487272,1000.0,17,1
55.569072,37.56521,1164.3835616438357,13,1
55.569128,37.489239,1014.4927536231884,13,1
55.569148,37.569099,987.012987012987,12,1
55.569164,37.588377,1017.5438596491229,7,1
55.569169,37.479717,1273.827974725346,19,4
55.56925,37.286426,1466.8374897348267,9,6
55.569255,37.589464,801.4247551202137,9,1
55.569265,37.441,1357.142857142857,9,1
55.569291,37.440002,1495.3271028037384,9,1
55.569515,37.497297,1369.86301369863,12,1
55.569576,37.491584,2834.8688873139617,16,1
55.569652,37.475486,1532.258064516129,17,1
55.569927,37.284827,1691.39455039171,9,5
55.569942,37.487622,933.3333333333334,12,1
55.570405,37.588611,1140.7766990291261,9,2
