club_key,green_pct
fightpro_полярнаяулица33ст3,0.0
fightrepublic_1йнагатинскийпроезд2ст7,0.0
fijisportclub_3яхорошёвскаяулица21а,4.487004
fijisportclub_улицаэдуардастрельцова2к1,0.0
fireballet_3йпроездмарьинойрощи40ст1,0.0
firelions_новодевичийпроезд10,26.982833
firelions_площадьшокина1ст5,64.597533
firelions_товарищескийпереулок23ст1,1.880444
firelions_чонгарскийбульвар10к1,1.166663
firidunjudoteam_2явольскаяулица11к4,0.341438
firstonly_иваньковскоешоссе5,51.395265
fit4everfitnessems_рождественскийбульвар9ст1,9.861691
fit_новолужнецкийпроезд13,3.130731
fitandflow_сельскохозяйственнаяулица35,48.043985
fitbeauty_северныйбульвар15,2.259499
fitclub_дмитровскоешоссе60а,1.614447
fitclub_измайловскийпроезд5а,1.873464
fitclub_улицаиванасусанина10а,11.009453
fitclubфитнесклуб_измайловскийпроезд5а,1.873464
fitdance_комсомольскийпроезд4,1.462526
fitdance_юровскаяулица92,3.036929
fitdancestudio_бульварвеласкеса3к3,0.0
fitdancestudio_улицасервантеса3к2,3.794773
fitdream_миклухомаклаяулица37,1.972039
fitdream_улицалавриненко13к3,0.405872
fitdream_улицалётчикагрицевца4,1.50554
fitdream_улицамиклухомаклая34,3.504052
fitdream_улицамиклухомаклая37,1.972039
fitdreamems_миклухомаклаяулица37,1.972039
fitdreamems_татьянинпаркулица14к1,0.360347
fitdrive_крылатскаяулица45к1,33.288991
fitelectro_улицахачатуряна12к1,7.91027
fitex_5якабельнаяулица2ст1,0.227993
fitexpert_большаяноводмитровскаяулица23,0.157478
fitfight_вернадскогопроспект21к3,8.71478
fitfight_городскаяулица6,0.164918
fitfight_проспектвернадского21к3,8.71478
fitflex_ленинскийпроспект54,3.906586
fitid1618_1явладимирскаяулица10дст3,3.842001
fitjumping_7япарковаяулица33к6,0.00746
fitjumping_алтуфьевскоешоссе27,0.0
fitjumping_большаясемёновскаяулица11ст3,2.071527
fitjumping_братиславскаяулица18к1,0.105272
fitjumping_бульвардмитриядонского9а,12.522703
fitjumping_волгоградскийпроспект15,0.229969
fitjumping_дмитровскоешоссе100ст2,3.037101
fitjumping_люблинскаяулица78к3,0.567159
fitjumping_люблинскаяулица80к5,0.567159
fitjumping_новоясеневскийпроспект24к4,23.915616
fitjumping_проспектмира5,4.984315
fitjumping_профсоюзнаяулица129а,33.424755
fitjumping_профсоюзнаяулица56,0.309584
fitjumping_селигерскаяулица32а,19.520282
fitjumping_тимирязевскаяулица1ст2,6.368371
fitjumping_улицаборисовскиепруды26к2,0.0
fitjumping_улицагарибальди36,3.412499
fitjumping_улицакулакова20ст1л,2.785229
fitjumping_улицащепкина47ст1,0.287228
fitlab_нежинскаяулица1к3,61.033457
fitlady_ходынскийбульвар10в,61.19298
fitlady_хорошёвскоешоссе42,0.206925
fitland_3яулицаямскогополя2к4,4.659203
fitland_аллеявитте1,17.705346
fitland_ленинградскоешоссе47,11.670452
fitlaxer_зеленоградк1650,10.86669
fitlaxer_зеленоградк1824,1.332943
fitlife_1явольскаяулица11,26.665048
fitlifeфитнесстудия_1явольскаяулица11,26.665048
fitlit_дмитровскоешоссе165дк2,36.760976
fitlit_ленинградскоешоссе25к2,42.74116
fitlit_осташковскаяулица28,3.917435
fitlounge_производственнаяулица12к2,1.302525
fitlounge_улицапроизводственная12к2,1.302525
fitnation_митинскаяулица29,5.831109
fitnation_рублёвскоешоссе48/1,9.625176
fitnation_улицагенералабелова8,4.483957
fitnation_улицамаршалабирюзова32,18.68316
